model_name,year,odometer,dealer,price,label
sedan,4,1.7256743010280642,dealer13,336.71993526462734,normal
suv,9,9.52329181035066,dealer10,324.42962265703625,normal
compact,2,0.5447210718704301,dealer18,321.3050211661208,normal
sedan,9,5.791831905079112,dealer21,289.62710958712773,normal
compact,5,1.907533723504339,dealer9,301.41344540086334,normal
suv,7,6.599013798494544,dealer14,360.70646278699945,normal
sedan,1,0.8808701107731708,dealer6,401.3709073533423,normal
sedan,7,4.303436309660862,dealer19,288.6104905899511,normal
sedan,6,4.195793370180094,dealer10,326.8965055457409,normal
suv,1,1.13513930170996,dealer22,475.9147367951564,normal
sedan,9,5.809384389800641,dealer2,289.55328322689246,normal
compact,3,0.9833973906093281,dealer14,273.4491166212169,normal
suv,1,0.7662501540317133,dealer10,471.41644371607015,normal
suv,10,16.825939539268113,dealer3,365.8397187640909,normal
suv,8,8.328316634165358,dealer18,385.6226036318169,normal
sedan,1,0.5025923085736184,dealer22,367.2027918480152,normal
sedan,2,1.150522070735336,dealer3,427.42899584289063,normal
sedan,9,4.560998838482134,dealer15,264.9886585425342,normal
suv,6,3.9007987920501512,dealer14,413.6777547991427,normal
suv,7,6.987245039477844,dealer7,393.7768113922041,normal
suv,5,4.97276987875247,dealer16,404.21462167647337,normal
suv,7,5.107099944931987,dealer22,392.55873927267714,normal
suv,5,4.8521737238549605,dealer17,438.123292174829,normal
compact,10,3.0046594024180386,dealer9,248.80328028754667,normal
compact,6,2.0425911169132744,dealer15,274.8686823174046,normal
compact,3,1.2097918312439893,dealer12,317.75866418904155,normal
compact,3,1.2240243684568544,dealer19,310.26896565628823,normal
compact,9,3.757714552770787,dealer9,236.14436061074917,normal
sedan,1,0.6514224628304194,dealer19,356.75660407390336,normal
compact,9,2.0195923362548562,dealer19,261.8413567658241,normal
suv,8,8.193634852670296,dealer12,358.21961532297064,normal
sedan,8,4.3644383114283425,dealer13,258.8075748106193,normal
suv,5,3.581282933962713,dealer6,463.1720981297048,normal
suv,7,10.085634571779261,dealer4,382.58430218253216,normal
compact,1,0.3856299344675519,dealer1,360.50231349922706,normal
compact,9,2.522507254454582,dealer6,286.0528924158317,normal
suv,8,10.932541289072297,dealer12,386.2708481023784,normal
suv,6,5.955499163772034,dealer16,410.5912920679685,normal
compact,8,2.885235047535251,dealer18,212.07271926325365,normal
sedan,5,2.9090118770336764,dealer15,311.33788303291067,normal
suv,3,4.072699200850973,dealer18,443.3951920821856,normal
suv,1,0.9379398464290463,dealer18,492.0093624495536,normal
sedan,2,1.0507018151875946,dealer23,370.63999351412474,normal
compact,3,0.9021224867503046,dealer17,331.58238400687725,normal
suv,10,10.954634923729213,dealer12,349.076001783273,normal
suv,5,5.574250915317812,dealer8,408.1209934001782,normal
compact,1,0.39671390460677275,dealer24,307.3567461012911,normal
sedan,2,1.0859088862273074,dealer8,342.8531656454079,normal
sedan,8,4.161901366475076,dealer0,282.4388529587004,normal
sedan,7,3.7079449701630867,dealer8,323.9053468279996,normal
compact,1,0.40602667489622724,dealer6,348.78350874955754,normal
suv,2,2.20438268736783,dealer23,448.3895917886684,normal
compact,6,2.1649923909033397,dealer11,276.7452367149522,normal
suv,6,5.16071891891036,dealer14,403.11144751106264,normal
compact,10,2.4472383530732444,dealer16,205.6931040628104,normal
sedan,1,0.6871683013788245,dealer3,416.33832401995437,normal
sedan,8,5.177254063666365,dealer18,305.2196150817703,normal
suv,5,4.828065940597097,dealer2,450.98386702943714,normal
compact,8,2.29133279964111,dealer2,259.2725632065961,normal
sedan,8,5.092831669407139,dealer12,274.4970926042639,normal
sedan,1,0.5152196022897798,dealer21,393.5572535385015,normal
sedan,2,1.0077912815397236,dealer10,373.66469607589516,normal
compact,3,1.3657563307951375,dealer19,288.33837235608354,normal
suv,3,4.083825939052284,dealer19,442.3264777032918,normal
compact,5,1.8249030852700434,dealer21,288.04673776412193,normal
sedan,6,4.282182941800561,dealer13,271.6770262642863,normal
compact,5,1.6300992052625916,dealer24,287.0140193833007,normal
compact,8,3.020087420263329,dealer15,238.41744058042306,normal
compact,8,3.247650443658578,dealer20,296.65964795906314,normal
compact,8,2.800891654630175,dealer2,248.67663388680222,normal
compact,9,3.582693908388583,dealer8,258.71715892420326,normal
sedan,4,1.8967113116205316,dealer14,337.666717178907,normal
suv,3,3.2987774668550607,dealer9,413.43821135412463,normal
suv,6,9.209297218007134,dealer23,395.68961469465023,normal
sedan,7,3.8633078632869005,dealer24,349.0676274155458,normal
compact,7,2.9674734501079416,dealer13,227.49203589866764,normal
sedan,5,3.3612928583784485,dealer9,394.5593498810167,normal
sedan,10,4.757619178049152,dealer0,267.93435304958336,normal
sedan,9,6.191332596782862,dealer24,274.3591794422735,normal
compact,8,2.567787651236656,dealer18,230.56123328910064,normal
suv,9,9.748068880530745,dealer7,405.0476691920454,normal
compact,3,1.4159905579963685,dealer20,325.31411779123397,normal
suv,5,4.5811325644443395,dealer4,431.3675953162055,normal
compact,3,0.8134321624654828,dealer21,281.77756096432535,normal
suv,5,6.402295176959014,dealer19,402.2627667456222,normal
compact,8,2.816856187437183,dealer23,210.0822866085684,normal
compact,4,1.6468892549347827,dealer3,318.36206937157704,normal
suv,9,6.715038754519283,dealer12,359.143716600787,normal
sedan,5,4.112552507189781,dealer3,320.1843704849996,normal
suv,10,7.8727582741475235,dealer18,346.8529098872996,normal
sedan,2,1.4114940065832904,dealer17,398.5395912597546,normal
