model_name,year,odometer,dealer,price,label
suv,8,12.93742997858286,dealer16,327.4817901169949,normal
suv,1,0.9151599225474095,dealer18,501.44611252417377,normal
sedan,5,2.8853467481513335,dealer22,349.27053779563823,normal
sedan,1,0.7831236825589314,dealer13,350.4056116178051,normal
sedan,3,2.2026050043561676,dealer1,354.38325939756027,normal
compact,8,2.1733999066172096,dealer11,268.14444465222397,normal
suv,10,7.0613929746794195,dealer13,321.68438812093376,normal
compact,8,2.2785200887364825,dealer16,230.09739048073897,normal
suv,2,1.6075071541879056,dealer22,463.707698173053,normal
sedan,2,1.416337042405364,dealer9,365.0953440672436,normal
compact,2,0.82801678480262,dealer13,289.077405348941,normal
suv,9,10.690112779787196,dealer7,364.6809566089093,normal
compact,1,0.3298940233831174,dealer12,321.778601450281,normal
suv,2,3.0790121752235042,dealer7,465.4084734279234,normal
sedan,8,5.215946996097092,dealer20,310.3015886096824,normal
suv,2,1.7264049660317173,dealer18,466.9560951684746,normal
suv,8,13.34419419927515,dealer16,342.8281528604437,normal
compact,8,2.294490010146884,dealer7,266.98044311176176,normal
sedan,3,2.1003851650232512,dealer8,359.2766578921008,normal
sedan,1,0.5615713423883747,dealer1,414.02493005368615,normal
suv,5,6.56837193192924,dealer24,395.4228016882461,normal
suv,8,7.898034036478906,dealer3,399.1246180747312,normal
suv,6,6.127792497293414,dealer15,401.2462011214489,normal
suv,4,2.9303305485751063,dealer24,450.9207967171295,normal
suv,3,3.320712737726489,dealer19,474.67843344140766,normal
sedan,10,5.747147967497376,dealer7,274.7392969037296,normal
suv,3,3.1479861299761334,dealer2,442.0954869460575,normal
suv,6,7.622357968818026,dealer20,430.9893338908233,normal
suv,3,2.5545533009277444,dealer9,496.85721757305,normal
suv,8,7.759730268706663,dealer6,395.7940423558708,normal
suv,3,3.2694462174522325,dealer10,431.1362863907506,normal
compact,5,2.096587543441542,dealer10,283.6277080257958,normal
suv,5,4.272674681848993,dealer9,458.3215647436367,normal
suv,3,2.7369261185171103,dealer16,439.7226067347535,normal
sedan,1,0.9636103313661358,dealer20,416.1373251387974,normal
sedan,10,5.418614646119433,dealer14,256.3663525469952,normal
sedan,7,5.1563261488116465,dealer23,282.49596557836367,normal
